fkprocessnode	paramname	paramvalue	pkid	primarydata	resettoggle	tkparam	tkreset	tkservice	versionstamp
00000000-1111-0000-0000-000000000000	TimerForAutoAnswer	1	dadcbe1c-2e70-4f9b-9f9d-5968bea062fa	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ExtensionDisplayOn7910	F	3f235915-6a86-4b79-9f9c-49488a174156	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AlternateIdlePhoneAutoAnswerBehavior	F	0b18bf05-5f95-4cf0-bf29-26463f5ce5f9	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	HoldType	F	38d5c6b0-3bae-4bfe-b85e-211d096f2d1a	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	LineStateUpdateEnabled	T	d8db54a5-f85b-4fff-8b17-f8f00aa9ef66	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	Timer_Offhook_To_First_Digit_msec	15000	560f3efa-916f-46f5-80c1-1b4de6bc053f	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	OverrideAutoAnswerIfDisableSpeakerFlag	T	ba9aa37e-4c5f-47be-aa2a-d263fb8d3e48	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	OutOfBandwidthText	Not Enough Bandwidth	d56d57b9-bdfe-458e-b155-db7f23a30c1b	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	EnterFACText	Enter Authorization Code	9e434b01-58b2-4aeb-ae4c-7d4252b74404	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	EnterCMCText	Enter Client Matter Code	7d67d191-c2cb-407f-9293-c607de6b9e16	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	AARNetworkCongestionReRoutingText	Network Congestion. Rerouting.	8322848a-ad69-4492-b16f-436fdbb2e50a	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	ConsecutiveRingOption	0	a3b9c658-2dd0-4ac7-9edc-5181d4908e1c	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	TransferOnhookEnabled	F	f1fc4cfd-35b2-4854-8c8a-5fbe89ecdfdc	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DeviceRingSetting	5	6e95b58f-fc76-423d-9b12-819d4be1d305	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	LineRingSetting	4	7f540d1d-dfc8-4ea1-9763-1d03c52d508b	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CallPickupRingSettingIdleStation	2	4f16326f-3a41-46cd-9766-b65c1e6b10e9	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	CallPickupRingSettingBusyStation	2	9a8064c2-1453-4d6a-8e13-7818febf3bf2	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	BLFAudibleAlertSettingIdleStation	0	4a915664-f7e4-4719-b6aa-07c2b05c4f75	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	BLFAudibleAlertSettingBusyStation	0	1dce3ece-878f-493e-9d64-b6508be29aea	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	PrivacySetting	T	c19a6ea4-1df4-4b25-b72e-ebb0f0e09599	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	PreservePrivacySettingOnHeldCalls	F	05193e91-df1d-44ca-a9d9-115f4097d8d1	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	SIPStationKeepaliveInterval	120	f2aadc76-108c-418f-a258-cf7c8bc11797	t	f	2	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	SIPStationRealm	ccmsipline	3d7b5da1-dcf1-4e57-91ff-da930a6b9bb4	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	HuntGroupLogoffNotification	None	e7e80911-bd84-4899-8ada-407d2247f8ff	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	SpeedDialAwaitFurtherDigits	F	57233c46-2228-4df5-ba1d-74b28a04c3b0	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DisplayCtiRPInfoFlag	F	ca7a790c-4b7d-4be4-aad3-1511008e5409	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	DisplayOriginalCgpnOnTransferFromVm	T	abc4dbb5-c230-4a7a-9bbe-6b9d65009e01	t	f	0	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	URIDialingDisplayPreference	1	ce08a142-27b7-40a5-a2f3-819d73e4173b	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
00000000-1111-0000-0000-000000000000	PrefixApplyTo	1	d5762058-624f-4956-89a4-a88d2b07d7b3	t	f	3	2	0	0000000000-c7a6c673-7479-46b0-839e-014d3d093963
